"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 15:18:30 EET 2019","Tue Dec 03 15:18:30 EET 2019","699","Test Automation University Suite","JS Test","javaScript.JavaScriptTests","javaScript.JavaScriptTests","testDomain","testDomain",""
"passed","Tue Dec 03 15:18:44 EET 2019","Tue Dec 03 15:18:46 EET 2019","1706","Test Automation University Suite","Navigation Test","navigation.NavigationTests","navigation.NavigationTests","testSwitchTab","testSwitchTab",""
"passed","Tue Dec 03 15:18:22 EET 2019","Tue Dec 03 15:18:23 EET 2019","546","Test Automation University Suite","Alerts Test","AlertsPage.AlertsTests","AlertsPage.AlertsTests","testSetInputInAlert","testSetInputInAlert",""
"passed","Tue Dec 03 15:18:20 EET 2019","Tue Dec 03 15:18:21 EET 2019","773","Test Automation University Suite","Alerts Test","AlertsPage.AlertsTests","AlertsPage.AlertsTests","JSAlertTest","JSAlertTest",""
"passed","Tue Dec 03 15:18:20 EET 2019","Tue Dec 03 15:18:21 EET 2019","910","Test Automation University Suite","DropDown Test","dropdown.DropdownTests","dropdown.DropdownTests","testSelectOption","testSelectOption",""
"passed","Tue Dec 03 15:18:21 EET 2019","Tue Dec 03 15:18:22 EET 2019","499","Test Automation University Suite","Alerts Test","AlertsPage.AlertsTests","AlertsPage.AlertsTests","JSConfirmAlert","JSConfirmAlert",""
"passed","Tue Dec 03 15:18:20 EET 2019","Tue Dec 03 15:18:20 EET 2019","531","Test Automation University Suite","Cookies Test","Cookies.CookiesTests","Cookies.CookiesTests","testDeleteCookie","testDeleteCookie",""
"passed","Tue Dec 03 15:18:56 EET 2019","Tue Dec 03 15:19:02 EET 2019","5751","Test Automation University Suite","Wait Test","Wait.WaitFactExercise","Wait.WaitFactExercise","FactTest","FactTest",""
"failed","Tue Dec 03 15:18:31 EET 2019","Tue Dec 03 15:18:32 EET 2019","1081","Test Automation University Suite","Login Test","login.LoginTests","login.LoginTests","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Tue Dec 03 15:18:44 EET 2019","Tue Dec 03 15:18:50 EET 2019","6059","Test Automation University Suite","Wait Test","Wait.FluentWait","Wait.FluentWait","testWaitUntilHidden","testWaitUntilHidden",""
"passed","Tue Dec 03 15:18:44 EET 2019","Tue Dec 03 15:18:45 EET 2019","1006","Test Automation University Suite","Slider Test","Slider.sliderTests","Slider.sliderTests","setSliderNumberFour","setSliderNumberFour",""
